no,kategori_transaksi,event_trigger,platform,kode_debet,nama_akun_debet,kode_kredit,nama_akun_kredit,trigger_dokumen,aturan_keterangan
1,Penjualan E-Commerce,Penjualan Bruto Pesanan Selesai,Shopee,1121,Piutang Penjualan E-Commerce,4111,Pendapatan Usaha - Shopee,Laporan Penjualan (CSV/Order Completed),Mencatat total omset bruto sebelum potongan admin/diskon
2,Penjualan E-Commerce,Penjualan Bruto Pesanan Selesai,Tokopedia,1121,Piutang Penjualan E-Commerce,4112,Pendapatan Usaha - Tokopedia,Laporan Transaksi Tokopedia,Mencatat total omset bruto sebelum potongan admin/diskon
3,Penjualan E-Commerce,Penjualan Bruto Pesanan Selesai,TikTok Shop,1121,Piutang Penjualan E-Commerce,4113,Pendapatan Usaha - TikTokShop,Settlement Report TikTok,Mencatat omset bruto penjualan dari livestream / showcase
4,Penjualan E-Commerce,Diskon / Voucher Toko oleh Penjual,All Marketplace,4211,Potongan Penjualan,1121,Piutang Penjualan E-Commerce,Order Detail / Promotion Report,Mencatat potongan harga yang ditanggung oleh penjual
5,Penjualan E-Commerce,Pemotongan Biaya Layanan / Admin Marketplace,Shopee / Tokopedia / TikTok,5212,Beban Komisi Admin / Platform,1121,Piutang Penjualan E-Commerce,Income Statement / Fee Details,Mengurangi piutang platform sebesar komisi/biaya admin marketplace
6,Penjualan E-Commerce,Biaya Ongkir Ditanggung Penjual (Subsidi Ongkir),All Marketplace,5213,Beban Ongkir,1121,Piutang Penjualan E-Commerce,Shipping Fee Invoice,Mencatat biaya pengiriman yang dipotong langsung oleh platform
7,Penjualan E-Commerce,Pencairan Dana Escrow / Saldo ke Bank,ShopeePay / Tokopedia / TikTok,1113,Kas di Bank,1121,Piutang Penjualan E-Commerce,Mutasi Bank / Withdrawal Report,Rekonsiliasi pencairan dana bersih dari saldo platform ke bank
8,Penjualan Offline & POS,Penjualan Tunai di Toko,Kasir / POS,1111,Kas di Tangan / Admin,4114,Pendapatan Usaha - Offline,Struk Kasir / POS Daily Summary,Penerimaan kas langsung dari penjualan offline
9,Penjualan Offline & POS,Penjualan via QRIS,QRIS / PJP (MDR),1122,Piutang Transaksi POS / QRIS,4114,Pendapatan Usaha - Offline,Laporan Transaksi QRIS Merchant,Penerimaan via QRIS (dana mengendap H+0 / H+1)
10,Penjualan Offline & POS,Pemotongan Biaya MDR QRIS oleh Bank/PJP,PJP / Midtrans / DOKU,5215,Beban Adm Bank & Potongan QRIS,1122,Piutang Transaksi POS / QRIS,Settlement Report QRIS,"Potongan MDR (misal 0,3% - 0,7%) sebelum pencairan"
11,Penjualan Offline & POS,Settlement Dana QRIS Masuk Rekening Bank,Bank Operasional,1113,Kas di Bank,1122,Piutang Transaksi POS / QRIS,Mutasi Bank (Credit Entry),Dana QRIS masuk ke rekening bank secara otomatis
12,Food Delivery,Penjualan Makanan / Minuman via App,GoFood / GrabFood / ShopeeFood,1123,Piutang Aplikasi Food Delivery,4115,Pendapatan Usaha - Food Delivery,Merchant App Sales Report,Mencatat harga jual sebelum komisi merchant app (20%)
13,Food Delivery,Komisi Bagi Hasil Merchant App,GoBiz / GrabMerchant,5212,Beban Komisi Admin / Platform,1123,Piutang Aplikasi Food Delivery,Merchant Payout Report,Pemotongan komisi mitra merchant (misal 20% + Rp1.000)
14,Food Delivery,Pencairan Harian / Payout Food App ke Bank,Bank Operasional,1113,Kas di Bank,1123,Piutang Aplikasi Food Delivery,Mutasi Bank Harian,Pencairan otomatis dana bersih food delivery ke bank
15,Produk Digital & Affiliate,Penjualan Modul / E-Book / Kursus,Lynk.id / Web / Digital Platform,1125,Piutang Platform Produk Digital,4116,Pendapatan Produk Digital,Laporan Penjualan Lynk.id,Penerimaan pesanan produk digital berbasis platform
16,Produk Digital & Affiliate,Pencairan Hasil Penjualan Produk Digital,Lynk.id / Gateway,1113,Kas di Bank,1125,Piutang Platform Produk Digital,Bukti Transfer / Payout Detail,Transfer saldo bersih produk digital ke bank
17,Produk Digital & Affiliate,Komisi Affiliate Diterima (TikTok/Shopee Affiliate),TikTok / Shopee Affiliate,1124,Piutang Komisi Affiliate,4116,Pendapatan Produk Digital,Affiliate Commission Statement,Pengakuan komisi hasil promosi affiliate yang belum dicairkan
18,Produk Digital & Affiliate,Pencairan Komisi Affiliate ke Bank / E-Wallet,E-Wallet / Bank,1112,Kas di E-Wallet,1124,Piutang Komisi Affiliate,Mutasi E-Wallet / Bank,Pencairan komisi affiliate ke e-wallet/bank
19,Retur & Pembatalan,Pengembalian Barang dari Pembeli (Retur Marketplace),Shopee / Tokopedia / TikTok,4212,Retur Penjualan,1121,Piutang Penjualan E-Commerce,Return & Refund Report,Pengurangan saldo piutang akibat klaim retur disetujui
